title	author	action	evidence	needed_author	needed_narrator	needed_publisher	needed_country	needed_language	needed_duration_seconds	needed_publish_date	known_publish_year	needed_asin	needed_isbn	hardcover_url	edit_url	cover_file	alternatives
Couriers Outbound	pirateaba	fix_hardcover_metadata	cover missing	pirateaba	Erin Bennett	Podium Audio	United States of America (us)	english	152555	2026-05-26	2026	B0GNTGPLSN	9798895391365	https://hardcover.app/books/couriers-outbound/editions/33002678	https://hardcover.app/editions/33002678/edit	covers/couriers-outbound-90a260a5.jpg	
Dressed to Kill 2: A Monster Seamstress LitRPG	Crown Fall	fix_hardcover_metadata	subtitle needs update: Dressed to Kill, Book 2	Crown Fall	Andrea Parsneau	Podium Audio	United States of America (us)	english	32378	2025-10-21	2025	B0FFD262Q3	9781039437364	https://hardcover.app/books/dressed-to-kill-2/editions/33202787	https://hardcover.app/editions/33202787/edit	covers/dressed-to-kill-2-a-monster-seamstress-litrpg-9305dfe6.jpg	
The Devils	Joe Abercrombie	fix_hardcover_metadata	subtitle needs update: The epic fantasy sensation – prepare for a wickedly dark and twisted adventure	Joe Abercrombie	Steven Pacey	Gollancz	United States of America (us)	english	90472	2025-05-06	2025	B0CXY69BBB	9781399603607	https://hardcover.app/books/the-devils-2025/editions/32879206	https://hardcover.app/editions/32879206/edit	covers/the-devils-9641e545.jpg	
Lost Souls and a Demoness 2	N. C. Lux	fix_hardcover_metadata	subtitle needs update: A LitRPG Adventure	N. C. Lux	Rebecca Woods, Daryl Mayfield	Royal Guard Publishing LLC	United States of America (us)	english	72648	2025-11-24	2025	B0G2T375WC		https://hardcover.app/books/lost-souls-and-a-demoness-2/editions/32762524	https://hardcover.app/editions/32762524/edit	covers/lost-souls-and-a-demoness-2-96b949bb.jpg	
Dressed to Kill: A Monster Seamstress LitRPG	Crown Fall	fix_hardcover_metadata	subtitle needs update: Dressed to Kill, Book 1	Crown Fall	Andrea Parsneau	Podium Audio	United States of America (us)	english	36700	2024-01-30	2024	B0CR6NPFT2	9781039437357	https://hardcover.app/books/dressed-to-kill-a-monster-seamstress-litrpg/editions/33202786	https://hardcover.app/editions/33202786/edit	covers/dressed-to-kill-a-monster-seamstress-litrpg-cddc41f3.jpg	
Andy in the Apocalypse 2	Plum Parrot	fix_hardcover_metadata	cover missing	Plum Parrot	J.S. Arquin	Aethon Audio	United States of America (us)	english	66742	2026-07-08	2026	B0H5RH8CML		https://hardcover.app/books/andy-in-the-apocalypse-2/editions/33240133	https://hardcover.app/editions/33240133/edit	covers/andy-in-the-apocalypse-2-d4cfd15e.jpg	
Inkpot Gods	Seanan McGuire	fix_hardcover_metadata	cover missing	Seanan McGuire	Amber Benson	Audible Studios	United States of America (us)	english	52867	2026-06-09	2026	B0GVTNNDFJ		https://hardcover.app/books/inkpot-gods/editions/33240019	https://hardcover.app/editions/33240019/edit	covers/inkpot-gods-d5734ed0.jpg	
Heroics 101: A Superhero Slice-of-Life LitRPG	Aest Belequa	fix_hardcover_metadata	cover missing	Aest Belequa	Hollie Jackson	Podium Audio	United States of America (us)	english	72931	2024-06-04	2024	B0D3264W7N	9781039470200	https://hardcover.app/books/heroics-101-2024/editions/33240131	https://hardcover.app/editions/33240131/edit	covers/heroics-101-a-superhero-slice-of-life-litrpg-d6f29dde.jpg	
Sweetbitter Song	Rosie Hewlett	fix_hardcover_metadata	cover missing; publication date needs update: 2026-03-18; duration needs update: 64059	Rosie Hewlett	Lizzie Wofford	Recorded Books	United States of America (us)	english	64059	2026-03-18	2026	B0GD2CZZZH	9798899745898	https://hardcover.app/books/sweetbitter-song/editions/33239245	https://hardcover.app/editions/33239245/edit	covers/sweetbitter-song-de61a798.jpg	
Magical Girl Mechanical Heart: Volume 1	Natalie Maher	fix_hardcover_metadata	cover missing	Natalie Maher	Marissa Parness	Royal Guard Publishing LLC	United States of America (us)	english	88000	2025-09-19	2025	B0FRPX15HB		https://hardcover.app/books/magical-girl-mechanical-heart/editions/33239958	https://hardcover.app/editions/33239958/edit	covers/magical-girl-mechanical-heart-volume-1-de809309.jpg	
A Practical Guide to Evil I	David Verburg	fix_hardcover_metadata	ASIN needs update: B0FG4LG58Q; ISBN missing; duration needs update: 50245; narrator missing: Amber Dekkers	David Verburg	Amber Dekkers	Dreamscape Lore	United States of America (us)	english	50245	2025-08-05	2025	B0FG4LG58Q	9798349103513	https://hardcover.app/books/a-practical-guide-to-evil-i/editions/32217542	https://hardcover.app/editions/32217542/edit	covers/a-practical-guide-to-evil-i-df54860d.jpg	
They Bloom at Night	Trang Thanh Tran	fix_hardcover_metadata	cover missing; ISBN belongs to another Hardcover edition	Trang Thanh Tran	Nhi Do	Bloomsbury YA	United States of America (us)	english	27504	2025-03-04	2025	B0DWXZX1D6	9781547615995	https://hardcover.app/books/they-bloom-at-night/editions/32423225	https://hardcover.app/editions/32423225/edit	covers/they-bloom-at-night-e1b2390d.jpg	
Hell's Heart	Alexis Hall	fix_hardcover_metadata	cover missing; narrator not found: Charli Anne Delores; publication date needs update: 2026-03-10; duration needs update: 51534	Alexis Hall	Charli Anne Delores	Macmillan Audio	United States of America (us)	english	51534	2026-03-10	2026	B0F9LSXTBV	9781250411624	https://hardcover.app/books/hells-heart-2026/editions/33239244	https://hardcover.app/editions/33239244/edit	covers/hell-s-heart-e2b0e36e.jpg	
Magical Girl Mechanical Heart, Volume 2	Natalie Maher	fix_hardcover_metadata	cover missing	Natalie Maher	Marissa Parness	Royal Guard Publishing LLC	United States of America (us)	english	77339	2026-06-17	2026	B0H4HRT1CB		https://hardcover.app/books/magical-girl-mechanical-heart-volume-2-volume-2/editions/33240101	https://hardcover.app/editions/33240101/edit	covers/magical-girl-mechanical-heart-volume-2-e588ec41.jpg	
Villain	Natalie Zina Walschots	fix_hardcover_metadata	cover missing	Natalie Zina Walschots	Alex McKenna	William Morrow	United States of America (us)	english	67303	2026-05-19	2026	B0CRS22TND	9780063236967	https://hardcover.app/books/villain-2026/editions/33240108	https://hardcover.app/editions/33240108/edit	covers/villain-eaf8036c.jpg	
Body Count	Codie Crowley	fix_hardcover_metadata	cover missing	Codie Crowley	Krystal Hammond	Recorded Books	United States of America (us)	english	34981	2026-05-05	2026	B0GQCVY3H5	9798891781764	https://hardcover.app/books/body-count-2026/editions/33240084	https://hardcover.app/editions/33240084/edit	covers/body-count-ef155097.jpg	
Splinter Angel: Book 3	Avaritiabona	fix_hardcover_metadata	cover missing	Avaritiabona	Jessica Threet	Royal Guard Publishing LLC	United States of America (us)	english	61038	2026-07-13	2026	B0H8QFYRKV		https://hardcover.app/books/splinter-angel-book-3/editions/33240198	https://hardcover.app/editions/33240198/edit	covers/splinter-angel-book-3-f34c1cb1.jpg	
The Divine Gardener's Handbook	Eli Snow	fix_hardcover_metadata	cover missing	Eli Snow	Ellie Gossage, Jess Nahikian	Macmillan Audio	United States of America (us)	english	43458	2026-08-18	2026	B0FS9KJM2H	9781250445124	https://hardcover.app/books/the-divine-gardeners-handbook/editions/33285151	https://hardcover.app/editions/33285151/edit	covers/the-divine-gardener-s-handbook-4dec4858.jpg	
Katalepsis: Volume 1	Hazel Young	fix_hardcover_metadata	cover missing	Hazel Young	Marisa Calin	Podium Audio	United States of America (us)	english	80119	2022-10-04	2022	B0BDNYCNK2	9781039414884	https://hardcover.app/books/katalepsis-volume-1/editions/33285153	https://hardcover.app/editions/33285153/edit	covers/katalepsis-volume-1-5257c799.jpg	
Ignore All Previous Instructions	Ada Hoffmann	fix_hardcover_metadata	cover missing	Ada Hoffmann	Nancy Wu	Recorded Books	United States of America (us)	english	44721	2026-05-12	2026	B0GQD2YH4D	9798899732737	https://hardcover.app/books/ignore-all-previous-instructions/editions/32983183	https://hardcover.app/editions/32983183/edit	covers/ignore-all-previous-instructions-a9dead95.jpg	
Motherclown	Harriet Alida Lye	fix_hardcover_metadata	cover missing; publication date missing	Harriet Alida Lye					38885					https://hardcover.app/books/motherclown/editions/33285162	https://hardcover.app/editions/33285162/edit	covers/motherclown-dfd8d1f2.jpg	
Heliacle Rising: The Wytchling Chronicles	C. C Davie	fix_hardcover_metadata	cover missing	C. C Davie	Laura Horowitz	C.C. Davie	United States of America (us)	english	55400	2023-01-20	2023	B0BSNYF1NQ		https://hardcover.app/books/heliacle-rising/editions/33285168	https://hardcover.app/editions/33285168/edit	covers/heliacle-rising-the-wytchling-chronicles-3fcae10e.jpg	
