title	author	abs_finished	abs_started	issues	match	hardcover_title	status	media	hardcover_finished	book_id	edition_id	asin	isbn	candidates	review_decision	review_note	export_record_numbers
Titan Blood: A LitRPG Progression Fantasy	Plum Parrot	2025-03-28	2025-03-28	finish date missing/different	manual book-level pairing	Titan Blood	Read	Audio		1563858	31942127	B0CJ5WQDNL			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1190
Battlemaster	Plum Parrot	2025-03-28	2025-03-28	finish date missing/different	title/author	Battlemaster	Read	Audio		1563844	31628502	B0CR4KVCDQ			original exact match retained		
Magma Heart	Plum Parrot	2025-03-28	2025-03-28	finish date missing/different	title/author	Magma Heart	Read	Audio		1603700	31945310	B0CZVB6MXH			original exact match retained		
The Primal Hunter 10	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 10	Read	Ebook		1390898	31418098	B0DK41WV5K			original exact match retained		
The Primal Hunter 9: A LitRPG Adventure	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	manual book-level pairing	The Primal Hunter 9	Read	Ebook		1175710	31229730	B0D6H2N1YL			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1060
The Primal Hunter 8	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 8	Read	Ebook		1160718	31225984	B0CQYVL43H			original exact match retained		
The Primal Hunter 7 - A LitRPG Adventure	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	manual book-level pairing	The Primal Hunter 7	Read	Ebook		1093424	31229957	B0CLNJQQD7			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1055
The Primal Hunter 6	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 6	Read	Book		1093426	31117444	B0CC6FHBQM			original exact match retained		
The Primal Hunter 5	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 5	Read	Book		638217	30616101	B0C34GCYVT			original exact match retained		
Primal Hunter 4	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	manual book-level pairing	The Primal Hunter 4	Read	Book		638200	30616085	B0BK9W82PQ			paired manually	Leading The omitted; Zogarth and volume 4 agree.	407
The Primal Hunter 3	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 3	Read	Book		995246	31019999	B0B6JM8KKV			original exact match retained		
The Primal Hunter 2	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 2	Read	Book		587445	30554096	B09V5RZFDG			original exact match retained		
The Primal Hunter	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter	Read	Book	2024-11-04	587435	30554086	B09MWP4277			original exact match retained		
The Primal Hunter 11	Zogarth	2025-03-29	2025-03-28	no read audiobook in export	title/author	The Primal Hunter 11	Read	Ebook	2025-03-29	1450207	31491621	B0DWG4J2SH			original exact match retained		
The Jewel and Her Lapidary	Fran Wilde	2025-03-29	2025-03-29	not marked read; no read audiobook in export; finish date missing/different	title/author	The Jewel and Her Lapidary	Want to Read	Book		439200	30423919	B01FG740UC			original exact match retained		
The Weaver and the Witch Queen	Genevieve Gornichec	2025-03-30	2025-03-29	no read audiobook in export	title/author	The Weaver and the Witch Queen	Read	Book	2025-03-30	770904	30772732	B0BLZS8KCT			original exact match retained		
A Broken Blade	Melissa Blair	2025-03-31	2025-03-30	no read audiobook in export; finish date missing/different	title/author	A Broken Blade	Read	Ebook	2025-04-01	531621	30486720	B0B3GB8FYT			original exact match retained		
A Shadow Crown	Melissa Blair	2025-04-02	2025-04-01	no read audiobook in export	title/author	A Shadow Crown	Read	Book	2025-04-02	713429	31756761	B0BV8ZH4MN			original exact match retained		
Martyr!	Kaveh Akbar	2025-04-03	2025-04-02		identifier	Martyr!	Read	Audio	2025-04-03	1011167	31829366	B0C4C6RH3P			original exact match retained		
The Seven Husbands of Evelyn Hugo	Taylor Jenkins Reid	2025-04-03	2025-04-03		title/author	The Seven Husbands of Evelyn Hugo	Read	Audio	2025-04-03	340654	24217974	B072359S7K			original exact match retained		
Bianca Torre Is Afraid of Everything	Justine Pucella Winans	2025-04-04	2025-04-03	no read audiobook in export	title/author	Bianca Torre Is Afraid of Everything	Read	Book	2025-04-04	454010	30408716	B0B7CQ7CLD			original exact match retained		
Afterlove	Tanya Byrne	2025-04-04	2025-04-04	no read audiobook in export; finish date missing/different	identifier	Afterlove	Read	Book	2025-04-05	451957	31938123	1444962469			original exact match retained		
Last Night at the Telegraph Club	Malinda Lo	2025-04-05	2025-04-04		title/author	Last Night at the Telegraph Club	Read	Audio	2025-04-05	444262	30768018	0593341643			original exact match retained		
The Seep	Chana Porter	2025-04-05	2025-04-05		identifier	The Seep	Read	Audio	2025-04-05	452807	32164691	1721358595			original exact match retained		
You Exist Too Much	Zaina Arafat	2025-04-06	2025-04-05	no read audiobook in export	title/author	You Exist Too Much	Read	Book	2025-04-06	436333	21249776	1696601614			original exact match retained		
Yerba Buena	Nina LaCour	2025-04-06	2025-04-06		identifier	Yerba Buena	Read	Audio	2025-04-06	502345	31813249	1250837839			original exact match retained		
The Mercies	Kiran Millwood Hargrave	2025-04-07	2025-04-06		title/author	The Mercies	Read	Audio	2025-04-07	434670	8588498	1549150421			original exact match retained		
The Falling in Love Montage	Ciara Smyth	2025-04-08	2025-04-07	no read audiobook in export	title/author	The Falling in Love Montage	Read	Ebook	2025-04-08	441551	20420903	0063012553			original exact match retained		
An Unkindness of Ghosts	Rivers Solomon	2025-04-11	2025-04-08		title/author	An Unkindness of Ghosts	Read	Audio	2025-04-11	430969	30746686	B0752WK6HB			original exact match retained		
Ophelia After All	Racquel Marie	2025-04-12	2025-04-11	no read audiobook in export; finish date missing/different	manual book-level pairing	Ophelia After All	Read	Book	2025-04-13	455367	31673825	B09JYKJ4VM			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	2006
Mistakes Were Made	Meryl Wilsner	2025-04-17	2025-04-15	no read audiobook in export	title/author	Mistakes Were Made	Read	Book	2025-04-17	504004	30454215	B09Q74K9DR			original exact match retained		
The Outside	Ada Hoffmann	2025-04-20	2025-04-17	finish date missing/different	title/author	The Outside	Read	Audio	2025-04-21	448770	31984396	1980014892			original exact match retained		
Love Points to You	Alice Lin	2025-04-22	2025-04-21	finish date missing/different	title/author	Love Points to You	Read	Audio	2025-04-24	1661068	32164633	B0D6C43D8B			original exact match retained		
The Spear Cuts Through Water	Simon Jimenez	2025-04-24	2025-04-20	finish date missing/different	title/author	The Spear Cuts Through Water	Read	Audio	2025-04-25	455897	31446098	B0D1ZDM86M			original exact match retained		
Hunger Makes the Wolf	Alex Wells	2025-04-25	2025-04-24		title/author	Hunger Makes the Wolf	Read	Audio	2025-04-25	469508	31988343	B06WRRWDDZ			original exact match retained		
The Devourers	Indra Das	2025-04-26	2025-04-25		title/author	The Devourers	Read	Audio	2025-04-26	441160	32164653	B01HZWVYZA			original exact match retained		
In the Ravenous Dark	A.M. Strickland	2025-04-26	2025-04-26	finish date missing/different	title/author	In the Ravenous Dark	Read	Audio	2025-04-28	1240181	31265197	1250834031			original exact match retained		
A Magic Steeped in Poison	Judy I. Lin	2025-04-28	2025-04-26		title/author	A Magic Steeped in Poison	Read	Audio	2025-04-28	455484	30663368	059355650X			original exact match retained		
To the Bone	Alena Bruzas	2025-04-28	2025-04-28	no read audiobook in export; finish date missing/different	title/author	To the Bone	Read	Book	2025-01-18	1463352	31507600	B0CQ8Y671Z			original exact match retained		
All the Bad Apples	Moïra Fowley-Doyle	2025-04-29	2025-04-28	no read audiobook in export; finish date missing/different	title/author	All the Bad Apples	Read	Book	2025-04-30	451272	5867129	059310613X			original exact match retained		
The Archer	Shruti Swamy	2025-04-29	2025-04-29	finish date missing/different	identifier	The Archer	Read	Audio	2025-04-30	455618	32164683	1649040776			original exact match retained		
From Dust, a Flame	Rebecca Podos	2025-04-30	2025-04-29		identifier	From Dust, a Flame	Read	Audio	2025-04-30	455180	31686938	0063220733			original exact match retained		
All the Hearts You Eat	Hailey Piper	2025-05-02	2025-04-30	no read audiobook in export	manual book-level pairing	All the Hearts You Eat	Read	Book	2025-05-02	1195091	32164640	B0CYF1XVFS			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	2204
Amma	Saraid de Silva	2025-05-03	2025-05-02		identifier	Amma	Read	Audio	2025-05-03	1276188	31997848	B0F3BYZZD8			original exact match retained		
The Name-Bearer	Natalia Hernandez	2025-05-04	2025-05-04	no read audiobook in export; finish date missing/different	title/author	The Name-Bearer	Read	Book	2025-05-05	465215	30558066	B0CFBFHFV3			original exact match retained		
The Invisible Life of Addie LaRue	V.E. Schwab	2025-05-05	2025-05-05	finish date missing/different	identifier	The Invisible Life of Addie LaRue	Read	Audio	2025-02-23	427524	30550645	125077795X			original exact match retained		
The Tyrant Baru Cormorant	Seth Dickinson	2025-05-05	2025-05-05	no read audiobook in export; finish date missing/different	identifier	The Tyrant Baru Cormorant	Read	Book	2025-02-07	440878	31913595	1250264189			original exact match retained		
The Unbroken	C.L. Clark	2025-05-05	2025-05-05	no read audiobook in export; finish date missing/different	title/author	The Unbroken	Read	Book	2025-01-07	428981	15344711	1549133861			original exact match retained		
The Follower of Flowers	Natalia Hernandez	2025-05-05	2025-05-04	no read audiobook in export	title/author	The Follower of Flowers	Read	Book	2025-05-05	1112763	31267681	B0CNQSZLYW			original exact match retained		
The Last Hour Between Worlds	Melissa Caruso	2025-05-06	2025-05-05		title/author	The Last Hour Between Worlds	Read	Audio	2025-05-06	1088302	31958490	B0CYVK133R			original exact match retained		
Black Girl, Call Home	Jasmine Mans	2025-05-06	2025-05-06	not found in export								0593346874		Black House / Stephen King, Peter Straub, Frank Muller (Narrator) [Want to Read; Audio; book 381281] | Black Magic Sanction / Kim Harrison [Read; Book; book 278985] | Black Iris / Elliot Wake [Want to Read; Book; book 503909]	not found in export after manual review	No corresponding work found after reviewing same-author titles, series and blank-author export entries; fuzzy candidates rejected.	
Oath of Fire	K. Arsenault Rivera	2025-05-07	2025-05-07	no read audiobook in export; finish date missing/different	manual book-level pairing	Oath of Fire	Read	Book	2025-05-09	1160415	32164698	B0CQ8WVJGL			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	2064
Quill and Still	Aaron Sofaer	2025-05-09	2025-05-07	not found in export								B0F3JZ9H4S		Grand Skill / Melas Delta, V.A.  Lewis [Read; Ebook; book 932975] | Unholy Land / Lavie Tidhar [Want to Read; Book; book 449988] | Planetfall / Emma Newman [Want to Read; Ebook; book 436902]	not found in export after manual review	No corresponding work found after reviewing same-author titles, series and blank-author export entries; fuzzy candidates rejected.	
Starling Days	Rowan Hisayo Buchanan	2025-05-10	2025-05-09	no read audiobook in export; finish date missing/different	title/author	Starling Days	Read	Book	2025-05-12	452004	32164632	109413807X			original exact match retained		
Overgrowth	Mira Grant	2025-05-11	2025-05-10	not marked read; no read audiobook in export; finish date missing/different	title/author	Overgrowth	Want to Read	Ebook		1634509	31844326	B0DFR282FJ			original exact match retained		
Here We Go Again	Alison Cochrun	2025-05-11	2025-05-11	finish date missing/different	title/author	Here We Go Again	Read	Audio	2025-02-07	735691	31600902	B0C87KGQ6D			original exact match retained		
All My Mother's Lovers	Ilana Masad	2025-05-11	2025-05-11	no read audiobook in export; finish date missing/different	identifier	All My Mother's Lovers	Read	Book	2025-01-11	456676	31913599	0593211111			original exact match retained		
Ruinsong	Julia Ember	2025-05-12	2025-05-11	not marked read; no read audiobook in export; finish date missing/different	title/author	Ruinsong	Want to Read	Book		40098	17580379	166205047X			original exact match retained		
Thirst	Marina Yuszczuk, Heather Cleary - translator	2025-05-12	2025-05-12	no read audiobook in export	title/author	Thirst	Read	Ebook	2025-05-12	1061518	31085639	B0CB98N62J			original exact match retained		
Sister, Maiden, Monster	Lucy A. Snyder	2025-05-12	2025-05-12	no read audiobook in export; finish date missing/different	manual book-level pairing	Sister, Maiden, Monster	Read	Book	2025-05-13	584716	31880259	B0B1KHB8LB			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	2210
Don't Let the Forest In	C.G. Drews	2025-05-13	2025-05-12	not marked read; no read audiobook in export; finish date missing/different	title/author	Don't Let the Forest In	Want to Read	Book		1043383	31067702	B0D9WL1F4T			original exact match retained		
The Wicked and the Willing	Lianyu Tan	2025-05-14	2025-05-14	finish date missing/different	title/author	The Wicked and the Willing	Read	Audio	2025-05-15	1066141	31823023	B0BT8JG6PG			original exact match retained		
The Mermaid, the Witch, and the Sea	Maggie Tokuda-Hall	2025-05-15	2025-05-14	no read audiobook in export	title/author	The Mermaid, the Witch, and the Sea	Read	Book	2025-05-15	111330	31112267	1799748537			original exact match retained		
A Dowry of Blood	S.T. Gibson	2025-05-16	2025-05-15		title/author	A Dowry of Blood	Read	Audio	2025-05-16	450530	30716815	1666109029			original exact match retained		
Plain Bad Heroines	Emily M. Danforth	2025-05-17	2025-05-16	finish date missing/different	title/author	Plain Bad Heroines	Read	Audio	2025-05-18	429074	20316161	0062942883			original exact match retained		
Willa & Hesper	Amy Feltman	2025-05-18	2025-05-17	no read audiobook in export	title/author	Willa & Hesper	Read	Book	2025-05-18	449682	32164679	1478999810			original exact match retained		
Shut Up You’re Pretty	Téa Mutonji	2025-05-18	2025-05-18		identifier	Shut Up You're Pretty	Read	Audio	2025-05-18	449725	32164680	1773055593			original exact match retained		
Tryst Six Venom	Penelope Douglas	2025-05-18	2025-05-18	no read audiobook in export	title/author	Tryst Six Venom	Read	Book	2025-05-18	506111	30457149	B09KP18PC2			original exact match retained		
The Safekeep	Yael van der Wouden	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	The Safekeep	Read	Book	2025-01-05	1083952	31913555	B0CLFFDC9D			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1357
The Wandering Inn	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Wandering Inn	Read	Ebook		446694	31126148	1774240327			original exact match retained		
Hell's Wardens	Pirateaba	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	title/author	Hell's Wardens	Want to Read	Ebook		1576138	31901874	B0DCCZ5MG2			original exact match retained		
Fae and Fare	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Fae and Fare	Read	Ebook		446699	30407810	1774241544			original exact match retained		
Flowers of Esthelm	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Flowers of Esthelm	Read	Ebook		898265	30919996	1774248123			original exact match retained		
Winter Solstice	Pirateaba	2025-05-19	2025-05-19	finish date missing/different	title/author	Winter Solstice	Read	Audio		446666	31219798	1039403360			original exact match retained		
The Last Light	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Last Light	Read	Ebook		646503	30625722	B09FR6RBVY			original exact match retained		
The General of Izril	Pirateaba	2025-05-19	2025-05-19	finish date missing/different	title/author	The General of Izril	Read	Audio		1078919	30919994	B09SJ1T9KF			original exact match retained		
Rains of Liscor	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	The Rains of Liscor	Read	Ebook		1128283	30698683	B09XYL9MQJ			paired manually	Leading The omitted; same author and Wandering Inn volume 7.	405
Blood of Liscor	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Blood of Liscor	Read	Book		707984	30698682	B0BDP2WRX7			original exact match retained		
Tears of Liscor	Pirateaba	2025-05-19	2025-05-19	finish date missing/different	title/author	Tears of Liscor	Read	Audio		791490	31219801	B0BSS6X5KF			original exact match retained		
The Wind Runner	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Wind Runner	Read	Ebook		1080261	31104310	B0C82TS539			original exact match retained		
The Titan of Baleros	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Titan of Baleros	Read	Ebook		1080265	31104314	B0CFRKVQJ5			original exact match retained		
The Witch of Webs	Pirateaba	2025-05-19	2025-05-19	finish date missing/different	title/author	The Witch of Webs	Read	Audio		1465445	31510324	B0CXFCNFKZ			original exact match retained		
