title	author	abs_finished	abs_started	issues	match	hardcover_title	status	media	hardcover_finished	book_id	edition_id	asin	isbn	candidates	review_decision	review_note	export_record_numbers
All the Hearts You Eat	Hailey Piper	2025-05-02	2025-04-30	no read audiobook in export	manual book-level pairing	All the Hearts You Eat	Read	Book	2025-05-02	1195091	32164640	B0CYF1XVFS			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	2204
The Name-Bearer	Natalia Hernandez	2025-05-04	2025-05-04	no read audiobook in export; finish date missing/different	title/author	The Name-Bearer	Read	Book	2025-05-05	465215	30558066	B0CFBFHFV3			original exact match retained		
The Tyrant Baru Cormorant	Seth Dickinson	2025-05-05	2025-05-05	no read audiobook in export; finish date missing/different	identifier	The Tyrant Baru Cormorant	Read	Book	2025-02-07	440878	31913595	1250264189			original exact match retained		
The Unbroken	C.L. Clark	2025-05-05	2025-05-05	no read audiobook in export; finish date missing/different	title/author	The Unbroken	Read	Book	2025-01-07	428981	15344711	1549133861			original exact match retained		
The Follower of Flowers	Natalia Hernandez	2025-05-05	2025-05-04	no read audiobook in export	title/author	The Follower of Flowers	Read	Book	2025-05-05	1112763	31267681	B0CNQSZLYW			original exact match retained		
Oath of Fire	K. Arsenault Rivera	2025-05-07	2025-05-07	no read audiobook in export; finish date missing/different	manual book-level pairing	Oath of Fire	Read	Book	2025-05-09	1160415	32164698	B0CQ8WVJGL			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	2064
Starling Days	Rowan Hisayo Buchanan	2025-05-10	2025-05-09	no read audiobook in export; finish date missing/different	title/author	Starling Days	Read	Book	2025-05-12	452004	32164632	109413807X			original exact match retained		
Overgrowth	Mira Grant	2025-05-11	2025-05-10	not marked read; no read audiobook in export; finish date missing/different	title/author	Overgrowth	Want to Read	Ebook		1634509	31844326	B0DFR282FJ			original exact match retained		
All My Mother's Lovers	Ilana Masad	2025-05-11	2025-05-11	no read audiobook in export; finish date missing/different	identifier	All My Mother's Lovers	Read	Book	2025-01-11	456676	31913599	0593211111			original exact match retained		
Ruinsong	Julia Ember	2025-05-12	2025-05-11	not marked read; no read audiobook in export; finish date missing/different	title/author	Ruinsong	Want to Read	Book		40098	17580379	166205047X			original exact match retained		
Thirst	Marina Yuszczuk, Heather Cleary - translator	2025-05-12	2025-05-12	no read audiobook in export	title/author	Thirst	Read	Ebook	2025-05-12	1061518	31085639	B0CB98N62J			original exact match retained		
Sister, Maiden, Monster	Lucy A. Snyder	2025-05-12	2025-05-12	no read audiobook in export; finish date missing/different	manual book-level pairing	Sister, Maiden, Monster	Read	Book	2025-05-13	584716	31880259	B0B1KHB8LB			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	2210
Don't Let the Forest In	C.G. Drews	2025-05-13	2025-05-12	not marked read; no read audiobook in export; finish date missing/different	title/author	Don't Let the Forest In	Want to Read	Book		1043383	31067702	B0D9WL1F4T			original exact match retained		
The Mermaid, the Witch, and the Sea	Maggie Tokuda-Hall	2025-05-15	2025-05-14	no read audiobook in export	title/author	The Mermaid, the Witch, and the Sea	Read	Book	2025-05-15	111330	31112267	1799748537			original exact match retained		
Willa & Hesper	Amy Feltman	2025-05-18	2025-05-17	no read audiobook in export	title/author	Willa & Hesper	Read	Book	2025-05-18	449682	32164679	1478999810			original exact match retained		
Tryst Six Venom	Penelope Douglas	2025-05-18	2025-05-18	no read audiobook in export	title/author	Tryst Six Venom	Read	Book	2025-05-18	506111	30457149	B09KP18PC2			original exact match retained		
The Safekeep	Yael van der Wouden	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	The Safekeep	Read	Book	2025-01-05	1083952	31913555	B0CLFFDC9D			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1357
The Wandering Inn	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Wandering Inn	Read	Ebook		446694	31126148	1774240327			original exact match retained		
Hell's Wardens	Pirateaba	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	title/author	Hell's Wardens	Want to Read	Ebook		1576138	31901874	B0DCCZ5MG2			original exact match retained		
Fae and Fare	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Fae and Fare	Read	Ebook		446699	30407810	1774241544			original exact match retained		
Flowers of Esthelm	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Flowers of Esthelm	Read	Ebook		898265	30919996	1774248123			original exact match retained		
The Last Light	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Last Light	Read	Ebook		646503	30625722	B09FR6RBVY			original exact match retained		
Rains of Liscor	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	The Rains of Liscor	Read	Ebook		1128283	30698683	B09XYL9MQJ			paired manually	Leading The omitted; same author and Wandering Inn volume 7.	405
Blood of Liscor	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Blood of Liscor	Read	Book		707984	30698682	B0BDP2WRX7			original exact match retained		
The Wind Runner	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Wind Runner	Read	Ebook		1080261	31104310	B0C82TS539			original exact match retained		
The Titan of Baleros	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Titan of Baleros	Read	Ebook		1080265	31104314	B0CFRKVQJ5			original exact match retained		
The Empress of Beasts	Pirateaba	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Empress of Beasts	Read	Ebook		1494206	31525707	B0D7F6BZBC			original exact match retained		
Hearing Red	Nicole Maser	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Hearing Red	Read	Book	2025-01-10	1375141	31400189	B0DM9STYKM			original exact match retained		
Scorched Grace	Margot Douaihy	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Scorched Grace	Read	Book	2024-12-28	629297	30605528	B0BN6MJSC5			original exact match retained		
The Churn	James S. A. Corey	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	title/author	The Churn	Want to Read	Book		431008	30448347	B09JB2RSL3			original exact match retained		
Leviathan Wakes	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Leviathan Wakes	Read	Book		427621	30552943	B00P9XDQFY			original exact match retained		
Caliban's War	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Caliban's War	Read	Book		434434	29504130	B075DK95GS			original exact match retained		
Gods of Risk	James S. A. Corey	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	title/author	Gods of Risk	Want to Read	Audio		430926	8582300	B09JB97WRH			original exact match retained		
Abaddon's Gate	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Abaddon's Gate	Read	Book		430976	23959925	B00T6ODYMC			original exact match retained		
Cibola Burn	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Cibola Burn	Read	Book		431006	30557817	B00K7PP15W			original exact match retained		
Nemesis Games	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Nemesis Games	Read	Book		431010	30559887	B00Y1O1FYG			original exact match retained		
Babylon's Ashes	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Babylon's Ashes	Read	Book		430940	1488067	B01D53NPLO			original exact match retained		
Strange Dogs	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Strange Dogs	Read	Book		431017	30400895	B073X5V27J			original exact match retained		
Persepolis Rising	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Persepolis Rising	Read	Book		430938	30444881	B074XM52YQ	9781501965630		original exact match retained		
Auberon	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Auberon	Read	Ebook		430999	30448357	1549170090			original exact match retained		
Tiamat's Wrath	James S. A. Corey	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Tiamat's Wrath	Read	Book	2025-12-15	430977	14025078	1980006520			original exact match retained		
Leviathan Falls	James S.A. Corey	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	identifier	The Extinction Trials	Want to Read	Audio		507206	32096578	1980035962	9781980035961		original exact match retained		
Our Wives Under the Sea	Julia Armfield	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Our Wives Under the Sea	Read	Book	2025-01-25	473719	30394770	B09VTK47Q2	9781529017236		original exact match retained		
Blood Bound	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Blood Bound	Read	Ebook		244394	30536920	B002V1AG7S			original exact match retained		
Iron Kissed	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Iron Kissed	Read	Book		476895	5319772	B002V8MOTY			original exact match retained		
Bone Crossed	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Bone Crossed	Read	Book		430125	28811959	B002V9Z4SQ			original exact match retained		
Silver Borne	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Silver Borne	Read	Book		286218	30400509	B003C1UL94			original exact match retained		
River Marked	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	River Marked	Read	Book		459761	31320601	B004O416JW			original exact match retained		
Frost Burned	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Frost Burned	Read	Book		473412	30400510	B00BL7ZMTK			original exact match retained		
Night Broken	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Night Broken	Read	Book		430206	30536938	B00I2WV0WA			original exact match retained		
Fire Touched	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Fire Touched	Read	Book		429935	5156151	B01BI1X19Q			original exact match retained		
Silence Fallen	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Silence Fallen	Read	Ebook		429936	3263984	B01MYVARKX			original exact match retained		
Storm Cursed	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Storm Cursed	Read	Ebook		430482	30412140	069819604X			original exact match retained		
Smoke Bitten	Patricia Briggs	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Smoke Bitten	Read	Book		430205	18762229	0593165764			original exact match retained		
Soul Taken	Patricia Briggs	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	title/author	Soul Taken	Want to Read	Book		502017	30458465	0593553675			original exact match retained		
Scamps & Scoundrels	Eric Ugland	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Scamps & Scoundrels	Read	Book		995041	31019792	1541435362	9781541435360		original exact match retained		
Second Story Man	Eric Ugland	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Second Story Man	Read	Ebook		638178	30616063	154143644X	9781541436442		original exact match retained		
Skull and Thrones	Eric Ugland	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Skull and Thrones	Read	Ebook		638177	30616062	1541436458	9781541436459		original exact match retained		
War of the Posers	Eric Ugland	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	War of the Posers	Read	Ebook		638176	30616061	1705236545	9781705236543		original exact match retained		
Seas the Day	Eric Ugland	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Seas the Day	Read	Ebook		638110	30615994	1705236561	9781705236567		original exact match retained		
High Gloom	Eric Ugland	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	High Gloom	Read	Ebook		638109	30615993	1705236588	9781705236581		original exact match retained		
Back to One	Eric Ugland	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Back to One	Read	Ebook		637883	30615752	B09PSVRV4J	9781666176247		original exact match retained		
Trick of the Night	Eric Ugland	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Trick Of The Night	Read	Ebook		637863	30615732	B09XJ79C11	9781666176261		original exact match retained		
2 Lies, 2 Thrones	Eric Ugland	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	2 Lies, 2 Thrones	Read	Book		1981771	31687310	B0D7XWC9YR			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1089
The Golem and the Jinni	Helene Wecker	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	The Golem and the Djinni	Read	Book		498604	31510651	B00BU8KV2S			paired manually	Jinni / Djinni spelling variant; same author.	370
The Hidden Palace	Helene Wecker	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Hidden Palace	Read	Book		434198	18067279	0063097370			original exact match retained		
An Ancient Peace	Tanya Huff	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	An Ancient Peace	Read	Ebook		458741	31687447	B014RNF5FA			original exact match retained		
A Peace Divided	Tanya Huff	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	A Peace Divided	Read	Ebook		458742	31687368	B0711YPX7G			original exact match retained		
The Privilege of Peace	Tanya Huff	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Privilege of Peace	Read	Book		461341	30524748	B07DNH7DCM			original exact match retained		
Valor's Choice	Tanya Huff	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Valor's Choice	Read	Book		458189	30433099	B002V5GTAM	9781400179923		original exact match retained		
The Better Part of Valor	Tanya Huff	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Better Part of Valor	Read	Book		457634	30433060	B002VACF4Q	9781400179916		original exact match retained		
The Heart of Valor	Tanya Huff	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Heart of Valor	Read	Book		325952	30424589	B002V8HIFE	9781400179893		original exact match retained		
Valor's Trial	Tanya Huff	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Valor's Trial	Read	Book		179916	15075092	B002V5D5WW	9781400179909		original exact match retained		
The Truth of Valor	Tanya Huff	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	The Truth of Valor	Read	Book		283569	30520314	B00425UXPQ	9781400188390		original exact match retained		
Beneath the Dragoneye Moons	Selkie Myth	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	Oathbound Healer	Read	Ebook		637750	30615619	1039402259			paired manually	Oathbound Healer; Selkie Myth, series volume 1.	250
Beneath the Dragoneye Moons 2	Selkie Myth	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	Adventures in the Argo	Read	Ebook		637839	30615708	1039402313			paired manually	Adventures in the Argo; Selkie Myth, series volume 2.	44
Beneath the Dragoneye Moons 3	Selkie Myth	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	Ranger's Dawn	Read	Ebook		637838	30615707	B09CF14FKD			paired manually	Ranger's Dawn; Selkie Myth, series volume 3.	282
Beneath the Dragoneye Moons 4	Selkie Myth	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	Beyond the Wall	Read	Ebook		637837	30615706	B09L5BBJ6X			paired manually	Beyond the Wall; Selkie Myth, series volume 4.	1044
Beneath the Dragoneye Moons 5	Selkie Myth	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	Moonveiled Journeys	Read	Ebook		637836	30615705	B09SNZJ74S			paired manually	Moonveiled Journeys; Selkie Myth, series volume 5.	230
Beneath the Dragoneye Moons 6	Selkie Myth	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	manual book-level pairing	Immortal Moments	Read	Ebook		637835	30615704	B09ZBKXSSD			paired manually	Immortal Moments; Selkie Myth, series volume 6.	187
Return to Remus	Selkie Myth	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	Return to Remus	Read	Ebook		995089	31019840	B0BYQ5SXPP	9781039426092		original exact match retained		
New Horizons	Selkie Myth	2025-05-19	2025-05-19	no read audiobook in export; finish date missing/different	title/author	New Horizons	Read	Ebook		638242	30616126	B0C2RDTH2X	9781039426146		original exact match retained		
