abs_title	book_ids	reason
Agent of Hel	473150	ABS subtitle is Dark Currents and series is Agent of Hel volume 1; matches export.
The Final Empire	369692	Mistborn series prefix added; same author and first novel.
Changes: The Dresden Files, Book 12	252854	Series suffix only; Jim Butcher and volume 12 agree.
Go the F--k to Sleep	799532	Censored title; same author and illustrator.
Heroes Die	78154	Matthew Stover / Matthew Woodring Stover name variation.
Caine’s Law	459283	Matthew Stover / Matthew Woodring Stover name variation.
He Who Fights with Monsters 4	587443	Repeated series subtitle adds Book 4; same author and volume.
Girls of Paper and Fire	14918	ABS lists foreword writer James Patterson first; Natasha Ngan matches export.
System Collapse (Dramatized Adaptation)	462038	Same underlying work; export narrator Kevin R. Free indicates different recording.
Silver in the Wood & Drowned Country	448971,461995	Both constituent novels are Read; combined audiobook edition not established.
Tales from the Folly	476538	ABS lists introduction writer first; Ben Aaronovitch and distinctive title agree.
The Tyranny of the Night	457608	Read catalog record lists this title plus three sequels; series volume 1. Coverage established, edition scope unclear.
Artemis	99422	ABS author field includes reader Tereza Dockalova; Andy Weir matches export.
Unworthy	1190851	The Blacksea Odyssey Book 1 subtitle; same author.
Unbound	1726601	The Blacksea Odyssey Book 2 subtitle; same author.
Magica Riot (Maidensong Magica Book 1)	1644317	Series suffix only; same author and volume.
His Dark Materials: The Golden Compass	355708	Series prefix only; same author and volume 1.
The Sharing Knife, Volume 1	447837	Beguilement; same author and series volume 1.
The Sharing Knife, Volume 2	373804	Legacy; same author and series volume 2.
The Sharing Knife, Volume 3	748532	Passage; same author and series volume 3.
The Sharing Knife, Vol. 4: Horizon	182034	Horizon; same author and series volume 4.
Terciel & Elinor	445758	Ampersand / and variation; same author.
House of Sky and Breath (Part 1 of 2) (Dramatized Adaptation)	429093	Read whole novel covers underlying work; separate dramatized part edition not established.
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation)	429093	Read whole novel covers underlying work; separate dramatized part edition not established.
Azarinth Healer: Book One: A LitRPG Adventure	638219	Descriptive suffix only; Rhaegar and Book One agree, not later volumes.
Freehaven Online: Lady Thunderlord, Into Hades	1853291	Series prefix omitted; same author, volume 2.
Freehaven Online: Winter Dungeonland	1853294	Series prefix omitted; same author, volume 3.
The Oleander Sword	459832	Leading The variation; same author.
House of Flame and Shadow (Part 2 of 2) (Dramatized Adaptation)	746152	Read whole novel covers underlying work; export narrator Elizabeth Evans is a different recording.
House of Flame and Shadow (Part 1 of 2) (Dramatized Adaptation)	746152	Read whole novel covers underlying work; export narrator Elizabeth Evans is a different recording.
Loose Kanin	2063952	Book 2 of Glass Kanin subtitle; same author.
The Midnight Shift	1813562	Cheon Seon-ran / Seon-Ran Cheon name ordering; translator Gene Png agrees.
Vigor Mortis: Volume 1	1913336	First novel appears as Vigor Mortis; same authors and narrator, siblings explicitly numbered 2-4.
I Keep My Exoskeletons to Myself	652427	Marisa Crane / Mac Crane author-name change; distinctive identical title.
A Study in Honor	450857	The Janet Watson Chronicles #1 series suffix; same author.
Bat Eater and Other Names for Cora Zeng	2356653	Shortened Bat eater title; same author Kylie Lee Baker.
Library at Mount Char	376472	Leading The variation; same author.
Water Kanin	2187574	Glass Kanin Book 3 subtitle; same author.
Valencia	652587	ABS lists foreword writer Maggie Nelson first; Michelle Tea agrees.
The Last Jews of Kerala	1557376	Historical subtitle adds 2,000; same author and underlying title.
The Brain That Changes Itself	87297	Descriptive subtitle and omitted author credentials; Norman Doidge agrees.
Hardwiring Happiness	464922	Descriptive subtitle and omitted author credentials; Rick Hanson agrees.
Rewire Your Brain 2.0 (2nd Edition)	854737	Edition descriptor and omitted author credentials; John B. Arden agrees.
Falling with Folded Wings: A LitRPG Progression Fantasy	684600	Book 1 added in export; Plum Parrot and series identity agree.
Heart of Dorkness	768914	Book 1 added in export; same author.
Cinnamon Bun: Volume 2	500630	Volume label removed; same author and volume 2.
Cinnamon Bun: Volume 3	769485	Volume label removed; same author and volume 3.
Cinnamon Bun: Volume 4	769309	Volume label removed; same author and volume 4.
Dead Tired I	1098729	Roman I / Arabic 1; same author, not II or III.
Cinnamon Bun: Volume 5	1459848	Volume label removed; same author and volume 5.
The Agartha Loop	1638096	Loop One added; same author and series volume 1.
The Agartha Loop 2	1638076	2 / Loop Two; same author and series volume 2.
Sporemageddon Vol. 1	769366	First volume unnumbered in export; series confirms volume 1.
Sporemageddon Vol. 2	1459829	Volume label removed; same author and volume 2.
Fleabag 3: A Monster Evolution LitRPG	2606503	Repeated Fleabag Book 3 subtitle; same author and volume.
Wayward: Running: An Isekai LitRPG	2160613	Corrected wrong sibling match; Running is book 1, not Falling (book 3).
Wayward: Fighting: An Isekai LitRPG	2187650	Corrected wrong sibling match; Fighting is book 2, not Falling (book 3).
Viridian Gate Online: Path of the Blood Phoenix	768828	Same author and individual title; Read audio row preferable to duplicate blank-author print record 1612274.
