category	actions	title	author	current_storygraph_title	current_format	current_status	current_identifier	current_dates_read	expected_asin	expected_isbn	expected_start_date	expected_finish_date	known_storygraph_url	storygraph_search_url	subtitle	narrator	publisher	release_date	duration_seconds	cover_file	notes
date-only	add start date	Villain	Natalie Zina Walschots	Villain	audio	read	9780063236967	2026/06/27	B0CRS22TND	9780063236967	2026-06-26	2026-06-27	https://app.thestorygraph.com/books/f220b1ab-42ca-4bd2-aa92-b00097ca0c06	https://app.thestorygraph.com/browse?search_term=Villain%20Natalie%20Zina%20Walschots	A Novel	Alex McKenna	William Morrow	2026-05-19	67303	output/2026-08-29/hardcover-catchup/covers/villain-eaf8036c.jpg	
edition	select or create audiobook edition	Darksight Dare	Lois McMaster Bujold	Darksight Dare		read		2026/06/28	B0GZHYFMWL	9798228994164	2026-06-28	2026-06-28	https://app.thestorygraph.com/books/07aaadc9-683a-4599-8490-2c7f1230519d	https://app.thestorygraph.com/browse?search_term=Darksight%20Dare%20Lois%20McMaster%20Bujold	A Penric & Desdemona Novella	Grover Gardner	Blackstone Publishing	2026-06-02	19456	output/2026-08-29/hardcover-catchup/covers/darksight-dare-3fa76639.jpg	
date-only	add start date	Vainglory 3	Plum Parrot	Vainglory 3	audio	read	B0H3W6DVTT	2026/06/28	B0H3W2X65R		2026-06-27	2026-06-28	https://app.thestorygraph.com/books/30e0842f-49c3-4595-8072-b748a8f4423e	https://app.thestorygraph.com/browse?search_term=Vainglory%203%20Plum%20Parrot	A LitRPG Adventure	Robb Moreira	Aethon Audio	2026-06-23	55607	output/2026-08-29/hardcover-catchup/covers/vainglory-3-6b57f91d.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
date-only	add start date	Cinnamon Bun Volume 7: A Wholesome LitRPG	RavensDagger	Cinnamon Bun Volume 7: A Wholesome LitRPG	audio	read	9781039487239	2026/06/29	B0FHL4HQBR	9781039487239	2026-06-28	2026-06-29	https://app.thestorygraph.com/books/1dfe0d09-6e51-4c0f-a200-d696e91e8c4c	https://app.thestorygraph.com/browse?search_term=Cinnamon%20Bun%20Volume%207%3A%20A%20Wholesome%20LitRPG%20RavensDagger	Cinnamon Bun, Book 7	Reba Buhr	Podium Audio	2026-06-16	43686	output/2026-08-29/hardcover-catchup/covers/cinnamon-bun-volume-7-a-wholesome-litrpg-f6445964.jpg	
edition	select or create audiobook edition; add start date	The Girl Who Bit Me	Valerie Hunter	The Girl Who Bit Me	paperback	read	9798243663359	2026/06/30	B0H4HQT8RN		2026-06-29	2026-06-30	https://app.thestorygraph.com/books/b3733c64-f320-493f-9e55-8cf744ff3364	https://app.thestorygraph.com/browse?search_term=The%20Girl%20Who%20Bit%20Me%20Valerie%20Hunter	A Sapphic Vampire Romance	Erin Bateman	Royal Guard Publishing LLC	2026-06-08	49491	output/2026-08-29/hardcover-catchup/covers/the-girl-who-bit-me-81f50651.jpg	
date-only	add start date	Goddess Alchemy	Rain Harlow	Goddess Alchemy	audio	read		2026/07/03	B0GD8VLV5P		2026-07-01	2026-07-03	https://app.thestorygraph.com/books/88a7f1da-b043-4cef-bf10-b70ed161bbae	https://app.thestorygraph.com/browse?search_term=Goddess%20Alchemy%20Rain%20Harlow	The Mirror World Progression Saga, Book 6	Giancarlo Herrera, Hannah Schooner	Royal Guard Publishing LLC	2025-12-30	57889	output/2026-08-29/hardcover-catchup/covers/goddess-alchemy-6795df4c.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
date-only	add start date	Andy in the Apocalypse	Plum Parrot	Andy in the Apocalypse	audio	read	B0GLR37MFC	2026/07/04	B0GLQTDFKK		2026-07-03	2026-07-04	https://app.thestorygraph.com/books/1e75827a-e9e9-4316-9499-ceabb8cd2304	https://app.thestorygraph.com/browse?search_term=Andy%20in%20the%20Apocalypse%20Plum%20Parrot	A LitRPG Adventure	J.S. Arquin	Aethon Audio	2026-04-07	62844	output/2026-08-29/hardcover-catchup/covers/andy-in-the-apocalypse-3267aaef.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
date-only	add start date	Welcome to the Blast: A Cyberpunk Adventure	Plum Parrot	Welcome to the Blast: A Cyberpunk Adventure	audio	read	9798347014200	2026/07/05	B0G1D3NZLJ	9798347014200	2026-07-04	2026-07-05	https://app.thestorygraph.com/books/0824df96-998a-41ee-827d-7745de202ae4	https://app.thestorygraph.com/browse?search_term=Welcome%20to%20the%20Blast%3A%20A%20Cyberpunk%20Adventure%20Plum%20Parrot	Neon Dust, Book 1	Suzy Jackson, Robb Moreira	Podium Audio	2026-05-05	64026	output/2026-08-29/hardcover-catchup/covers/welcome-to-the-blast-a-cyberpunk-adventure-7805c67a.jpg	
edition	select or create audiobook edition; add start date	Heroics 101: A Superhero Slice-of-Life LitRPG	Aest Belequa	Heroics 101: A Superhero Slice-of-Life LitRPG		read		2026/07/07	B0D3264W7N	9781039470200	2026-07-05	2026-07-07	https://app.thestorygraph.com/books/b817f115-5c3d-473a-9d58-a79d486931a1	https://app.thestorygraph.com/browse?search_term=Heroics%20101%3A%20A%20Superhero%20Slice-of-Life%20LitRPG%20Aest%20Belequa	Magical Girl Undergrad, Book 1	Hollie Jackson	Podium Audio	2024-06-04	72931	output/2026-08-29/hardcover-catchup/covers/heroics-101-a-superhero-slice-of-life-litrpg-d6f29dde.jpg	
date-only	add start date	Dressed to Kill: A Monster Seamstress LitRPG	Crown Fall	Dressed to Kill: A Monster Seamstress LitRPG	audio	read		2026/07/08	B0CR6NPFT2	9781039437357	2026-07-07	2026-07-08	https://app.thestorygraph.com/books/c2d7b2a5-fddf-4fb3-a7eb-6bc08b39099a	https://app.thestorygraph.com/browse?search_term=Dressed%20to%20Kill%3A%20A%20Monster%20Seamstress%20LitRPG%20Crown%20Fall	Dressed to Kill, Book 1	Andrea Parsneau	Podium Audio	2024-01-30	36700	output/2026-08-29/hardcover-catchup/covers/dressed-to-kill-a-monster-seamstress-litrpg-cddc41f3.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
edition	select or create audiobook edition; add start date	Andy in the Apocalypse 2	Plum Parrot	Andy in the Apocalypse 2	paperback	read	9798185307359	2026/07/10	B0H5RH8CML		2026-07-08	2026-07-10	https://app.thestorygraph.com/books/1516f8c3-6de9-4eea-af2b-0bbfdd05fcd5	https://app.thestorygraph.com/browse?search_term=Andy%20in%20the%20Apocalypse%202%20Plum%20Parrot	A LitRPG Adventure	J.S. Arquin	Aethon Audio	2026-07-08	66742	output/2026-08-29/hardcover-catchup/covers/andy-in-the-apocalypse-2-d4cfd15e.jpg	
date-only	add start date	Lost Souls and a Demoness 1	N. C. Lux	Lost Souls and a Demoness 1	audio	read		2026/07/14	B0F4Z71MY4		2026-07-10	2026-07-14	https://app.thestorygraph.com/books/b11e1ff2-6a5b-4d85-831e-6e29f4045446	https://app.thestorygraph.com/browse?search_term=Lost%20Souls%20and%20a%20Demoness%201%20N.%20C.%20Lux	A LitRPG Adventure	Rebecca Woods, Daryl Mayfield	Royal Guard Publishing LLC	2025-04-21	56159	output/2026-08-29/hardcover-catchup/covers/lost-souls-and-a-demoness-1-76b7bfed.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
edition	select or create audiobook edition; add start date	Lost Souls and a Demoness 2	N. C. Lux	Lost Souls and a Demoness 2	digital	read	B0FPDL5ZZF	2026/07/14	B0G2T375WC		2026-07-11	2026-07-14	https://app.thestorygraph.com/books/450a4842-02ee-4dfb-9976-9345dc8f17e0	https://app.thestorygraph.com/browse?search_term=Lost%20Souls%20and%20a%20Demoness%202%20N.%20C.%20Lux	A LitRPG Adventure	Rebecca Woods, Daryl Mayfield	Royal Guard Publishing LLC	2025-11-24	72648	output/2026-08-29/hardcover-catchup/covers/lost-souls-and-a-demoness-2-96b949bb.jpg	
edition	select or create audiobook edition; add start date	Love, Gods and Sinners	Camille Chong	Love, Gods and Sinners	digital	read	B0GRYV9P3X	2026/07/17			2026-07-14	2026-07-17	https://app.thestorygraph.com/books/0207d39d-5c2c-4828-89b5-925e31232d16	https://app.thestorygraph.com/browse?search_term=Love%2C%20Gods%20and%20Sinners%20Camille%20Chong					43683	output/2026-08-29/hardcover-catchup/covers/love-gods-and-sinners-63866b01.jpg	
date-only	add start date	Dressed to Kill 2: A Monster Seamstress LitRPG	Crown Fall	Dressed to Kill 2: A Monster Seamstress LitRPG	audio	read	9781039453913	2026/07/18	B0FFD262Q3	9781039437364	2026-07-17	2026-07-18	https://app.thestorygraph.com/books/9a1b4871-ca2d-4320-b967-0a0b1321df51	https://app.thestorygraph.com/browse?search_term=Dressed%20to%20Kill%202%3A%20A%20Monster%20Seamstress%20LitRPG%20Crown%20Fall	Dressed to Kill, Book 2	Andrea Parsneau	Podium Audio	2025-10-21	32378	output/2026-08-29/hardcover-catchup/covers/dressed-to-kill-2-a-monster-seamstress-litrpg-9305dfe6.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
date-only	add start date	The Mercy Makers	Tessa Gratton	The Mercy Makers	audio	read	9781668649916	2026/07/20	B0DKGBNRKZ	9781668649916	2026-07-18	2026-07-20	https://app.thestorygraph.com/books/1384a35c-6ae3-4781-a7e8-2078aeab0a38	https://app.thestorygraph.com/browse?search_term=The%20Mercy%20Makers%20Tessa%20Gratton		Emily Lawrence	Orbit	2025-06-17	69386	output/2026-08-29/hardcover-catchup/covers/the-mercy-makers-6a30d7c7.jpg	
edition	select or create audiobook edition; add start date	The Shape of Monsters	Tessa Gratton	The Shape of Monsters	digital	read	9780316578820	2026/07/25	B0FY82H2RX	9781668657744	2026-07-20	2026-07-25	https://app.thestorygraph.com/books/6e494b29-57de-4dd2-a3af-366ed2ea3121	https://app.thestorygraph.com/browse?search_term=The%20Shape%20of%20Monsters%20Tessa%20Gratton		Emily Lawrence	Orbit	2026-06-16	74285	output/2026-08-29/hardcover-catchup/covers/the-shape-of-monsters-83552557.jpg	
date-only	add start date	The Red Sacrament	Sara Hinkley	The Red Sacrament	audio	read	9798349165719	2026/07/31	B0GTN8YYX4	9798349165719	2026-07-25	2026-07-31	https://app.thestorygraph.com/books/cc74f5bb-4541-479e-ba66-9f4330a221bb	https://app.thestorygraph.com/browse?search_term=The%20Red%20Sacrament%20Sara%20Hinkley		Christine Williams	Dreamscape Media	2026-07-07	67022	output/2026-08-29/hardcover-catchup/covers/the-red-sacrament-69fd860b.jpg	
date-only	add start date	The Water Outlaws	S. L. Huang	The Water Outlaws	audio	read	9781666635195	2026/08/05	B0BSB2DVDQ	9781666635195	2026-07-31	2026-08-05	https://app.thestorygraph.com/books/d7aa5ba7-6e28-44c0-a735-2a18d51f614c	https://app.thestorygraph.com/browse?search_term=The%20Water%20Outlaws%20S.%20L.%20Huang		Emily Woo Zeller	Dreamscape Media	2023-08-22	71049	output/2026-08-29/hardcover-catchup/covers/the-water-outlaws-671bd759.jpg	
edition	select or create audiobook edition; add start date	Green Crime	Julia Shaw	Green Crime	digital	read	9781837260683	2026/08/07	B0FW5T4J31	9781645023814	2026-08-05	2026-08-07	https://app.thestorygraph.com/books/d377c20e-62da-43e5-b0a9-e106e0d89176/editions	https://app.thestorygraph.com/browse?search_term=Green%20Crime%20Julia%20Shaw	Inside the Minds of the People Destroying the Planet, and How to Stop Them	Julia Shaw	Chelsea Green Publishing	2025-11-11	31579	output/2026-08-29/hardcover-catchup/covers/green-crime-23fdcd35.jpg	
date-only	add start date	The Memory Illusion	Julia Shaw	The Memory Illusion	audio	read		2026/08/09	B01E9E62P4		2026-08-07	2026-08-09		https://app.thestorygraph.com/browse?search_term=The%20Memory%20Illusion%20Julia%20Shaw	Why You May Not Be Who You Think You Are	Siri Steinmo	Audible Studios	2016-06-16	29246	output/2026-08-29/hardcover-catchup/covers/the-memory-illusion-6eda48a5.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
date-only	add start date	The Devils	Joe Abercrombie	The Devils	audio	read	9781399603607	2026/08/15	B0CXY69BBB	9781399603607	2026-08-09	2026-08-15	https://app.thestorygraph.com/books/6a847069-5044-481c-b65f-47ec00ccfb05	https://app.thestorygraph.com/browse?search_term=The%20Devils%20Joe%20Abercrombie	The epic fantasy sensation – prepare for a wickedly dark and twisted adventure	Steven Pacey	Gollancz	2025-05-06	90472	output/2026-08-29/hardcover-catchup/covers/the-devils-9641e545.jpg	
edition	select or create audiobook edition	The Orb of Cairado	Katherine Addison	The Orb of Cairado	digital	read	9781645242147	2026/08/15	B0FXYQ65TK	9798331989484	2026-08-15	2026-08-15	https://app.thestorygraph.com/books/0944e30a-6798-4e82-adde-acf8191ea5b7	https://app.thestorygraph.com/browse?search_term=The%20Orb%20of%20Cairado%20Katherine%20Addison		Zehra Jane Naqvi	Tantor Media	2026-02-03	11359	output/2026-08-29/hardcover-catchup/covers/the-orb-of-cairado-14941017.jpg	
date-only	add start date	Meet Me in the Garden	Nina LaCour	Meet Me In the Garden	audio	read	9781250444158	2026/08/18	B0FP3VKX27	9781250444158	2026-08-16	2026-08-18		https://app.thestorygraph.com/browse?search_term=Meet%20Me%20in%20the%20Garden%20Nina%20LaCour	A Novel	Angel Pean	Macmillan Audio	2026-08-04	58976	output/2026-08-29/hardcover-catchup/covers/meet-me-in-the-garden-3743cbb8.jpg	
edition	select or create audiobook edition; add start date	Lancer: An Epic Sci-Fi Adventure	T. R. More	Lancer: An Epic Sci-Fi Adventure	digital	read		2026/08/25	B0DSGJCL1G	9781039474802	2026-08-18	2026-08-25	https://app.thestorygraph.com/books/0b46e34c-f75c-4851-96bf-974072fcc03a/editions	https://app.thestorygraph.com/browse?search_term=Lancer%3A%20An%20Epic%20Sci-Fi%20Adventure%20T.%20R.%20More	Godslayers, Book 1	Kimberly Woods	Podium Audio	2025-02-04	76379	output/2026-08-29/hardcover-catchup/covers/lancer-an-epic-sci-fi-adventure-41bb9409.jpg	
date-only	add start date	Stray Cat Strut 8: A Cyberpunk LitRPG	RavensDagger	Stray Cat Strut 8: A Cyberpunk LitRPG	audio	read	9781039487215	2026/08/28	B0GLT6CK5Z	9781039487215	2026-08-25	2026-08-28	https://app.thestorygraph.com/books/d1057cf6-2d0d-4a91-b8ba-04155887b246	https://app.thestorygraph.com/browse?search_term=Stray%20Cat%20Strut%208%3A%20A%20Cyberpunk%20LitRPG%20RavensDagger	Stray Cat Strut, Book 8	Hollie Jackson, Pavi Proczko	Podium Audio	2026-08-25	60473	output/2026-08-29/hardcover-catchup/covers/stray-cat-strut-8-a-cyberpunk-litrpg-1f2afa84.jpg	
edition	select or create audiobook edition; add start date	Splinter Angel: Book 3	Avaritiabona	Splinter Angel: Book 3	digital	read	9798891733367	2026/08/29	B0H8QFYRKV		2026-08-28	2026-08-29	https://app.thestorygraph.com/books/4b36cc84-2fc9-4575-9963-b51e18e50e82/editions	https://app.thestorygraph.com/browse?search_term=Splinter%20Angel%3A%20Book%203%20Avaritiabona		Jessica Threet	Royal Guard Publishing LLC	2026-07-13	61038	output/2026-08-29/hardcover-catchup/covers/splinter-angel-book-3-f34c1cb1.jpg	
